Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.9685714285714285,0.9687772228352401,0.9685714285714285,0.968567978889293
K-Nearest Neighbors (KNN),0.9638095238095238,0.964240709738569,0.9638095238095238,0.9638011184456436
Gaussian Naive Bayes,0.9723809523809523,0.9726707713754648,0.9723809523809523,0.9723767180638121
Bernoulli Naive Bayes,0.9638095238095238,0.9647808208719174,0.9638095238095238,0.9637906062487067
Multinomial Naive Bayes,0.959047619047619,0.9610969387755102,0.959047619047619,0.9590020657873828
Decision Tree,0.9666666666666667,0.9668716243684301,0.9666666666666667,0.9666630079128866
